"symb","open_time","high","low","close","volume","close_time","quote_asset_vol","num_trades","takerbuy_baseasset_vol","takerbuy_quoteasset_vol"
"BTCUSDT","2021-03-09T00:00:00.000000Z",54895.0,51789.41,54884.5,71656.73707599999,"2021-03-09T23:59:59.999999Z",3.861450964654903E9,2194398,35011.541086,1.8868447736846302E9
"BTCUSDT","2021-03-10T00:00:00.000000Z",57387.69,53005.0,55851.590000000004,84749.23894299999,"2021-03-10T23:59:59.999999Z",4.700197563359213E9,2647284,42651.887405,2.3668562928667717E9
"BTCUSDT","2021-03-11T00:00:00.000000Z",58150.0,54272.82,57773.16,81914.812859,"2021-03-11T23:59:59.999999Z",4.61236620100222E9,2509970,40603.449668,2.288704819095106E9
"BTCUSDT","2021-03-12T00:00:00.000000Z",58081.51,54962.840000000004,57221.72,73405.406047,"2021-03-12T23:59:59.999999Z",4.162054726378839E9,2489931,35802.941461999995,2.030616300473431E9
"BTCUSDT","2021-03-13T00:00:00.000000Z",61844.0,56078.23,61188.39,83245.091346,"2021-03-13T23:59:59.999999Z",4.933383453245977E9,2559002,44387.231918,2.631390814772793E9
"BTCUSDT","2021-03-14T00:00:00.000000Z",61724.79,58966.78,58968.31,52601.05275,"2021-03-14T23:59:59.999999Z",3.176397573884642E9,1829769,25325.267050000002,1.5300510053980403E9
"BTCUSDT","2021-03-15T00:00:00.000000Z",60633.43,54600.0,55605.200000000004,102771.427298,"2021-03-15T23:59:59.999999Z",5.874241052093371E9,2683815,49825.438346999996,2.8489070866343694E9
"BTCUSDT","2021-03-16T00:00:00.000000Z",56938.29,53271.340000000004,56900.75,77986.694355,"2021-03-16T23:59:59.999999Z",4.304259207645101E9,2241208,37825.501492999996,2.0881113625512383E9
"BTCUSDT","2021-03-17T00:00:00.000000Z",58974.73,54123.69,58912.97,70421.620841,"2021-03-17T23:59:59.999999Z",3.9609929721542916E9,2204296,34778.745774999996,1.9578255226803286E9
"BTCUSDT","2021-03-18T00:00:00.000000Z",60129.97,57023.0,57648.16,66580.40667499999,"2021-03-18T23:59:59.999999Z",3.9008857612128057E9,2040947,32287.379911,1.8923276913666964E9
"BTCUSDT","2021-03-19T00:00:00.000000Z",59468.0,56270.74,58030.01,52392.652961,"2021-03-19T23:59:59.999999Z",3.052711147934925E9,1885830,25552.511222999998,1.4892740832643423E9
"BTCUSDT","2021-03-20T00:00:00.000000Z",59880.0,57820.17,58102.28,44476.941776,"2021-03-20T23:59:59.999999Z",2.6165350930515847E9,1724131,22212.446722999997,1.3070239931234434E9
"BTCUSDT","2021-03-21T00:00:00.000000Z",58589.100000000006,55450.11,57351.56,48564.470274,"2021-03-21T23:59:59.999999Z",2.7742231296238103E9,1773546,23648.941676,1.3509891912768383E9
"BTCUSDT","2021-03-22T00:00:00.000000Z",58430.73,53650.0,54083.25,62581.626168999996,"2021-03-22T23:59:59.999999Z",3.527479514325653E9,1927345,30749.059028,1.7335790805690002E9
"BTCUSDT","2021-03-23T00:00:00.000000Z",55830.9,53000.0,54340.89,59789.365427,"2021-03-23T23:59:59.999999Z",3.2646507748174615E9,1740349,29563.409740000003,1.6147221508192563E9
"BTCUSDT","2021-03-24T00:00:00.000000Z",57200.0,51700.0,52303.65,83537.465021,"2021-03-24T23:59:59.999999Z",4.583159614046461E9,2401988,39323.130067,2.161386678806821E9
"BTCUSDT","2021-03-25T00:00:00.000000Z",53287.0,50427.56,51293.78,87400.53453799999,"2021-03-25T23:59:59.999999Z",4.53632718495786E9,2099425,42947.397733,2.229351569587026E9
"BTCUSDT","2021-03-26T00:00:00.000000Z",55073.46,51214.600000000006,55025.590000000004,63813.774692,"2021-03-26T23:59:59.999999Z",3.3970361407516375E9,1773150,31822.545238,1.6943260433371158E9
"BTCUSDT","2021-03-27T00:00:00.000000Z",56700.36,53950.0,55817.14,50105.475054999995,"2021-03-27T23:59:59.999999Z",2.767070175861931E9,1528776,24739.948471,1.3659653172505236E9
"BTCUSDT","2021-03-28T00:00:00.000000Z",56559.75,54691.840000000004,55777.630000000005,39050.387511,"2021-03-28T23:59:59.999999Z",2.1787773294452167E9,1551283,19262.725935,1.074959545959009E9
"BTCUSDT","2021-03-29T00:00:00.000000Z",58405.82,54800.01,57635.47,67857.937398,"2021-03-29T23:59:59.999999Z",3.877131109734646E9,1983437,34373.804555999996,1.9638001736560595E9
"BTCUSDT","2021-03-30T00:00:00.000000Z",59368.0,57071.35,58746.57,55122.443122,"2021-03-30T23:59:59.999999Z",3.2219441074550304E9,1612744,27541.526680000003,1.6108126579299018E9
"BTCUSDT","2021-03-31T00:00:00.000000Z",59800.0,56769.0,58740.55,60975.542665999994,"2021-03-31T23:59:59.999999Z",3.575976083804576E9,1928224,31074.813187,1.8238227929104502E9
"BTCUSDT","2021-04-01T00:00:00.000000Z",59490.0,57935.450000000004,58720.44,47415.61722000001,"2021-04-01T23:59:59.999999Z",2.7892388799433737E9,1594431,22966.256736,1.351151697892222E9
"BTCUSDT","2021-04-02T00:00:00.000000Z",60200.0,58428.57,58950.01,47382.418781,"2021-04-02T23:59:59.999999Z",2.811159761268467E9,1666356,23695.695153999997,1.406393729830769E9
"BTCUSDT","2021-04-03T00:00:00.000000Z",59791.72,56880.0,57051.94,47409.852113,"2021-04-03T23:59:59.999999Z",2.783151686164537E9,1606805,23057.967017,1.3539602646219623E9
"BTCUSDT","2021-04-04T00:00:00.000000Z",58492.85,56388.0,58202.01,41314.081973,"2021-04-04T23:59:59.999999Z",2.3801390107302327E9,1499113,20609.134160999998,1.187123542579883E9
"BTCUSDT","2021-04-05T00:00:00.000000Z",59272.0,56777.770000000004,59129.99,54258.015790000005,"2021-04-05T23:59:59.999999Z",3.1552147641644855E9,2035877,27269.492690000003,1.586344787554169E9
"BTCUSDT","2021-04-06T00:00:00.000000Z",59495.24,57413.020000000004,57991.15,54201.000727,"2021-04-06T23:59:59.999999Z",3.1669115571481576E9,1960513,26699.197871999997,1.5605391257780592E9
"BTCUSDT","2021-04-07T00:00:00.000000Z",58655.0,55473.0,55953.450000000004,71228.405659,"2021-04-07T23:59:59.999999Z",4.053294016484514E9,2206433,34737.582155,1.9774380339286299E9
"BTCUSDT","2021-04-08T00:00:00.000000Z",58153.31,55700.0,58077.520000000004,44283.147019,"2021-04-08T23:59:59.999999Z",2.531779682552427E9,1661080,22161.69051,1.2671268594438906E9
"BTCUSDT","2021-04-09T00:00:00.000000Z",58894.9,57654.0,58142.54,40831.884911,"2021-04-09T23:59:59.999999Z",2.3783406972895837E9,1615962,20354.234456,1.1856793679100363E9
"BTCUSDT","2021-04-10T00:00:00.000000Z",61500.0,57900.01,59769.130000000005,69906.424117,"2021-04-10T23:59:59.999999Z",4.1971385524690332E9,2470398,36018.637566,2.1628583977534404E9
"BTCUSDT","2021-04-11T00:00:00.000000Z",60699.0,59232.520000000004,60002.43,41156.715391,"2021-04-11T23:59:59.999999Z",2.4620329266179814E9,1746102,20798.058779,1.2443490914434774E9
"BTCUSDT","2021-04-12T00:00:00.000000Z",61300.0,59350.590000000004,59860.0,56375.037117,"2021-04-12T23:59:59.999999Z",3.393042867871466E9,1806298,27645.201152999998,1.6645888234110286E9
"BTCUSDT","2021-04-13T00:00:00.000000Z",63777.770000000004,59805.15,63575.0,82848.688746,"2021-04-13T23:59:59.999999Z",5.154877375389618E9,2703735,41662.533028,2.59272444836985E9
"BTCUSDT","2021-04-14T00:00:00.000000Z",64854.0,61301.0,62959.53,82616.343993,"2021-04-14T23:59:59.999999Z",5.239081228156977E9,2645625,40070.377527,2.5421710834126883E9
"BTCUSDT","2021-04-15T00:00:00.000000Z",63800.0,62020.0,63159.98,51649.70034,"2021-04-15T23:59:59.999999Z",3.248931738293182E9,1938028,25628.168379,1.6123030952882543E9
